year,ai_twh_p5,ai_twh_p50,ai_twh_p95,ai_share_p5,ai_share_p50,ai_share_p95,p_supply_stress
2030,414.71124329451834,920.0782395624296,1652.5172977534537,0.012635786614577094,0.02822499234603802,0.05111357887932774,0.0
2031,458.7761023748422,1023.8621641797272,1858.5885631173646,0.013668417690210266,0.030708714552724954,0.056154970857672744,0.04488
2032,499.51731075503665,1136.7712220793046,2146.6902037095165,0.014641367615071591,0.03341575584200042,0.06305035830117424,0.06154
2033,533.4006647628233,1259.88845485075,2529.7826136261974,0.015354058705467303,0.036217973586828885,0.0719918696600481,0.08358
2034,562.8725815965747,1396.0403101633651,3026.7355266226664,0.015885558316978493,0.039248462177555454,0.08332782462804307,0.11266
2035,586.6161480086062,1543.624002809516,3650.4485245297233,0.016229620349062047,0.04260732350883711,0.09706221021986926,0.14764
2036,604.6758092808936,1707.364977836784,4434.461012239,0.016494736288692566,0.046141921200040764,0.11355648455274102,0.18762
2037,620.8495859620004,1890.0477166195988,5440.762709239426,0.016642390037216275,0.04988582647553412,0.13342523948012602,0.22776
2038,634.1448417780827,2095.6144551568586,6690.804977627035,0.01664096888084752,0.05399715007869643,0.1561640194622706,0.27002
2039,643.2414271747971,2320.8611597524578,8247.463111581545,0.016567522580340995,0.05848514381544597,0.1826341346138931,0.31176
2040,647.1507277100216,2571.019603793263,10223.389956213514,0.01640049843393021,0.06327554044255196,0.21376940698199032,0.35272
2041,647.8970318552034,2843.527406443824,12639.774162774891,0.016183733182163908,0.06847048033933581,0.24801908219315522,0.39102
2042,647.0681358024461,3149.379767622464,15605.80198450387,0.015872987287633762,0.0741559376848058,0.28640948302435026,0.42656
2043,646.5060235110919,3482.1756709459873,19332.036722261335,0.01561789234163028,0.08021685054765762,0.3281933018487599,0.4619
2044,644.5588500497889,3856.863962871168,23998.124771880306,0.015265303165113384,0.08639563669687755,0.3736499574372,0.49418
2045,641.6246852743183,4270.624220512322,29962.098445331085,0.014912884692171958,0.09314857479974703,0.42079638027600075,0.52362
